('Volkswagen Passat (North America)',):('$ 12 800',):('2016 г., 1.8л., роботседан, бензинруль слева, 137 000 км',)
('Lexus ES',):('$ 12 700',):('2008 г., 3.5л., автоматседан, бензинруль слева, 202 000 км',)
('MINI Countryman',):('$ 14 000',):('2013 г., 1.6л., автоматвнедорожник 5 дв., бензинруль слева, 135 000 км',)
('Toyota Ist',):('$ 6 300',):('2002 г., 1.5л., автоматхэтчбек 5 дв., бензинруль справа, 190 000 км',)
('Honda Stream',):('$ 4 400',):('2001 г., 1.7л., автоматминивэн, бензинруль справа, 133 999 км',)
('Subaru Outback',):('$ 6 300',):('2005 г., 2.5л., автоматуниверсал, бензинруль справа, 205 000 км',)
('Toyota Windom',):('$ 4 966',):('1999 г., 2.5л., автоматседан, бензинруль справа, 221 000 км',)
('Lexus LX',):('$ 36 500',):('2011 г., 5.7л., автоматвнедорожник 5 дв., бензинруль слева, 238 000 км',)
('Daewoo Nexia',):('$ 3 487',):('2012 г., 1.5л., механикаседан, бензинруль слева, 125 000 км',)
('Toyota Alphard',):('$ 7 800',):('2004 г., 2.4л., автоматминивэн, бензинруль справа',)
('DongFeng S50',):('$ 21 500',):('2020 г., автоматседан, электроруль слева, 656 км',)
('BAIC EU5',):('$ 21 500',):('2019 г., автоматседан, электроруль слева, 223 км',)
('Toyota Ist',):('$ 5 000',):('2002 г., 1.3л., автоматхэтчбек 5 дв., бензинруль справа',)
('Toyota Alphard',):('$ 10 000',):('2004 г., 2.4л., автоматминивэн, бензинруль справа, 163 800 км',)
('Toyota RAV4',):('$ 19 800',):('2015 г., 2.5л., автоматвнедорожник 5 дв., бензинруль слева, 62 000 км',)
('Toyota Windom',):('$ 8 000',):('2005 г., 3л., автоматседан, бензинруль справа',)
('Kia Morning',):('$ 5 300',):('2008 г., 1л., автоматхэтчбек 5 дв., бензинруль слева, 168 000 км',)
('Toyota Camry',):('$ 13 800',):('2012 г., 2.5л., автоматседан, бензинруль слева, 172 000 км',)
('Toyota Estima',):('$ 15 900',):('2008 г., 3.5л., автоматминивэн, бензинруль справа, 120 000 км',)
('Toyota 4Runner',):('$ 13 800',):('2004 г., 4л., автоматвнедорожник 5 дв., бензинруль слева',)
